State,Fiscal year,Fiscal quarter,Ratio
DE,2020,2,2.5419855647575305
DE,2020,3,2.766110784177819
DE,2020,4,4.129229789830952
DE,2021,1,3.0669410842598452
DE,2021,2,11.99322627881657
DE,2021,3,5.5724378028185635
DE,2021,4,2.81963334642604
DE,2022,1,2.8941366499191314
DE,2022,2,4.086175321316995
DE,2022,3,3.941914206619179
DE,2022,4,6.039595933381761
DE,2023,1,3.9172489611712282
DE,2023,2,2.95889921869795
DE,2023,3,3.4931177758057603
DE,2023,4,5.739483919282017
DE,2024,1,5.7971180096328006
DE,2024,2,3.473409070943917
DE,2024,3,2.8700759909480773
FL,2019,1,3.629609969401722
FL,2019,2,4.551765553990182
FL,2019,3,3.700668331877807
FL,2019,4,3.3777572183031648
FL,2020,1,3.329815259578284
FL,2020,2,3.4945738087719938
FL,2020,3,3.1189273995368394
FL,2020,4,4.642777547680242
FL,2021,1,4.01759285384504
FL,2021,2,4.995380516212087
FL,2021,3,4.780346931442231
FL,2021,4,5.023322097788929
FL,2022,1,4.609334684175627
FL,2022,2,3.0202813839245093
FL,2022,3,5.597039713921265
FL,2022,4,3.841738677162783
FL,2023,1,4.294504670965575
FL,2023,2,3.521870676719364
FL,2023,3,2.412056462086531
FL,2023,4,5.058486290106341
FL,2024,1,5.264080457458796
FL,2024,2,4.097653072149617
FL,2024,3,3.244855081741772
GA,2019,1,1.4590238253257093
GA,2019,2,1.9060685755228244
GA,2019,3,1.0536398476683866
GA,2019,4,2.325590686507079
GA,2020,1,1.3791416602376352
GA,2020,2,0.9833151819299891
GA,2020,3,1.4692099466658555
GA,2020,4,1.4916756462714993
GA,2021,1,1.311003090858175
GA,2021,2,0.5241217253115567
GA,2021,3,1.0136464059982524
GA,2021,4,1.9089956531849672
GA,2022,1,2.2112281428074354
GA,2022,2,1.135451999824034
GA,2022,3,0.8606954920993418
GA,2022,4,0.9764783142009559
GA,2023,1,1.7185818617543163
GA,2023,2,1.4557832485832112
GA,2023,3,0.8950880585265253
GA,2023,4,0.6697635147402122
GA,2024,1,1.2673907897308285
GA,2024,2,1.1414728780247552
GA,2024,3,0.9086751522663917
HI,2019,1,1.2253160578682494
HI,2019,2,0.8578228991292226
HI,2019,3,1.2685933882931562
HI,2019,4,1.4483842041692383
HI,2020,1,0.7989782166981185
HI,2020,2,0.8919091418078272
HI,2020,3,2.728783167498964
HI,2020,4,1.5115315894858705
HI,2021,1,1.1319250472208797
HI,2021,2,0.746911110309234
HI,2021,3,1.1433311621507274
HI,2021,4,3.252864760842322
HI,2022,1,1.3979459770554667
HI,2022,2,1.1408165932580867
HI,2022,3,1.4680493922838622
HI,2022,4,1.2884583551777646
HI,2023,1,0.9240691511622661
HI,2023,2,1.2686846215126675
HI,2023,3,2.3689944166688455
HI,2023,4,1.5360694153175316
HI,2024,1,1.2362191622171268
HI,2024,2,1.0593759007474373
HI,2024,3,2.132039558075061
IA,2019,1,0.20735854179821614
IA,2019,2,0.11325720101168357
IA,2019,3,0.20729843621598715
IA,2019,4,0.17161495151044026
IA,2020,1,0.15026239302192068
IA,2020,2,0.18140757132263602
IA,2020,3,0.23087926517204252
IA,2020,4,0.11302460491066581
IA,2021,1,0.1526521145824414
IA,2021,2,0.14119585326467204
IA,2021,3,0.2096406885131975
IA,2021,4,0.278561749263833
IA,2022,1,0.23472749810641833
IA,2022,2,0.16843348024942656
IA,2022,3,0.3288413773615423
IA,2022,4,0.3076022664019937
IA,2023,1,0.2665134891179939
IA,2023,2,0.2684708366761358
IA,2023,3,0.2696954843756467
IA,2023,4,0.3374537166250852
IA,2024,1,0.1652722211970335
IA,2024,2,0.255864779772374
IA,2024,3,0.2117466307585237
ID,2019,1,0.37347772552271047
ID,2019,2,0.34087645621796303
ID,2019,3,0.46086652969092146
ID,2019,4,0.5495093632751357
ID,2020,1,0.38498072758575874
ID,2020,2,0.4309759348847231
ID,2020,3,0.6167237168612312
ID,2020,4,0.34191834212893335
ID,2021,1,0.6540564127812633
ID,2021,2,0.3000989153659672
ID,2021,3,0.52830189823928
ID,2021,4,0.39724530343261855
ID,2022,1,0.5847739852339092
ID,2022,2,0.42860176488921464
ID,2022,3,0.6649253687666679
ID,2022,4,0.2368437503280607
ID,2023,1,0.5238590694351457
ID,2023,2,0.43878842599470563
ID,2023,3,0.6004758340166669
ID,2023,4,0.35270869270704797
ID,2024,1,0.5171060602091945
ID,2024,2,0.6099496748504545
ID,2024,3,0.8247924807522492
IL,2019,1,1.3452093933442104
IL,2019,2,2.1197492944746337
IL,2019,3,1.2134588731610423
IL,2019,4,0.6118196186404724
IL,2020,1,2.369715492475048
IL,2020,2,2.768424551030648
IL,2020,3,2.9171651249320893
IL,2020,4,2.6847182968712042
IL,2021,1,2.4339215005329295
IL,2021,2,2.557033953224341
IL,2021,3,2.821426152464248
IL,2021,4,2.6291263531535143
IL,2022,1,1.9681704621310128
IL,2022,2,2.7929588850527183
IL,2022,3,1.8494136594279116
IL,2022,4,2.662469915545304
IL,2023,1,1.2205051674044145
IL,2023,2,2.467770389266268
IL,2023,3,2.187629381893374
IL,2023,4,2.1708614264869674
IL,2024,1,1.579021579241256
IL,2024,2,2.740018610587264
IL,2024,3,1.8628626660157563
IN,2019,1,0.7388153135001047
IN,2019,2,0.3295354019544415
IN,2019,3,0.6126222449023093
IN,2019,4,0.32330645792444
IN,2020,1,1.2163532285449166
IN,2020,2,0.5409173807284282
IN,2020,3,0.5975691343646649
IN,2020,4,0.6307275793770307
IN,2021,1,0.9010003074011841
IN,2021,2,1.195345545809364
IN,2021,3,1.3346273961205564
IN,2021,4,0.7989207810367912
IN,2022,1,1.386809892952872
IN,2022,2,1.4145882962232785
IN,2022,3,0.949698646742112
IN,2022,4,1.081240894373533
IN,2023,1,0.7576700393436581
IN,2023,2,1.1033341415712452
IN,2023,3,1.0294977307387199
IN,2023,4,0.8021509349252753
IN,2024,1,1.4207186062325707
IN,2024,2,1.247327588125822
IN,2024,3,1.9425990745329973
KS,2019,1,0.09225394740598093
KS,2019,2,0.25471904341298396
KS,2019,3,0.12756472469175967
KS,2019,4,0.08949909994984023
KS,2020,1,0.10003840938004821
KS,2020,2,0.08940306697195124
KS,2020,3,0.1389670061844466
KS,2020,4,0.07968764873359646
KS,2021,1,0.05739155060637797
KS,2021,2,0.0597030554055173
KS,2021,3,0.11359052689057224
KS,2021,4,0.11916740162034152
KS,2022,1,0.12179256584437295
KS,2022,2,0.10560309893237105
KS,2022,3,0.1218900247432645
KS,2022,4,0.12201113624384922
KS,2023,1,0.12633558348237225
KS,2023,2,0.2656577114039957
KS,2023,3,0.2432032614725465
KS,2023,4,0.1950256848334824
KS,2024,1,0.1362588795452989
KS,2024,2,0.1282697235012322
KS,2024,3,0.07569480228716753
KY,2019,1,0.3132618566544064
KY,2019,2,0.4947402464015013
KY,2019,3,1.1452775629680554
KY,2019,4,1.0579414859176846
KY,2020,1,0.9564407003297373
KY,2020,2,2.233832232696449
KY,2020,3,1.1536790798641867
KY,2020,4,2.1443260267526494
KY,2021,1,0.9488622726374862
KY,2021,2,2.5742123740495204
KY,2021,3,1.6241842550181873
KY,2021,4,1.2965394884305794
KY,2022,1,1.0576175435491435
KY,2022,2,1.4080865682285653
KY,2022,3,1.0099115371468563
KY,2022,4,1.301201576473455
KY,2023,1,1.5048945891809054
KY,2023,2,2.3923646428524967
KY,2023,3,1.804101308316211
KY,2023,4,0.8210608638238939
KY,2024,1,0.6670241313407089
KY,2024,2,1.7512369835584478
KY,2024,3,0.9339676488721955
LA,2019,1,0.09221526320127234
LA,2019,2,0.1160061662364456
LA,2019,3,0.14883830857389208
LA,2019,4,0.17999309662161303
LA,2020,1,0.06349754773770151
LA,2020,2,0.13295566990237612
LA,2020,3,0.18953493608879632
LA,2020,4,0.10313689341958009
LA,2021,1,0.03401916327188385
LA,2021,2,0.06924757829909926
LA,2021,3,0.12637877195789646
LA,2021,4,0.1907189849004992
LA,2022,1,0.055659195767790284
LA,2022,2,0.10432846066136642
LA,2022,3,0.11887196548297016
LA,2022,4,0.1565189312370315
LA,2023,1,0.15571279307973918
LA,2023,2,0.09028052321635706
LA,2023,3,0.12281343052658275
LA,2023,4,0.43776077643219596
LA,2024,1,0.10259454549859387
LA,2024,2,0.15639416601524478
LA,2024,3,0.16761206226336503
MA,2019,1,4.354431410268796
MA,2019,2,4.794399545445075
MA,2019,3,5.511654978787616
MA,2019,4,4.0382707766997665
MA,2020,1,5.493369536909668
MA,2020,2,4.787792817404555
MA,2020,3,6.927305387539764
MA,2020,4,6.782652914482027
MA,2021,1,6.574398041580407
MA,2021,2,2.828153058550045
MA,2021,3,4.619554116800866
MA,2021,4,6.729133738836234
MA,2022,1,6.5200113724476605
MA,2022,2,4.4087320073521195
MA,2022,3,3.6783375743824984
MA,2022,4,7.474187446219187
MA,2023,1,4.817804653030961
MA,2023,2,4.185009656721541
MA,2023,3,6.472838720711591
MA,2023,4,10.832693786759245
MA,2024,1,6.518144432853041
MA,2024,2,5.402420651986145
MA,2024,3,5.611330875180899
MD,2019,1,10.95117389935559
MD,2019,2,7.444672427356454
MD,2019,3,10.318788657064914
MD,2019,4,4.644278092664486
MD,2020,1,5.37715836899729
MD,2020,2,3.9149921908303753
MD,2020,3,6.3725815120911165
MD,2020,4,5.554978773921137
MD,2021,1,4.026106592120178
MD,2021,2,3.6491029579642515
MD,2021,3,4.902482762828309
MD,2021,4,9.879975664739996
MD,2022,1,3.819539519520514
MD,2022,2,9.809219693761035
MD,2022,3,3.7302250393780554
MD,2022,4,3.148711375870906
MD,2023,1,2.4490435566065902
MD,2023,2,7.994251744683388
MD,2023,3,6.008950863892123
MD,2023,4,3.460772578780029
MD,2024,1,3.515209755296565
MD,2024,2,4.146902857135088
MD,2024,3,7.074431658755337
ME,2019,1,1.9215997204851267
ME,2019,2,2.8104019797760693
ME,2019,3,2.8170787919829325
ME,2019,4,1.5612994193483944
ME,2020,1,1.5651514579854655
ME,2020,2,3.2190707310836655
ME,2020,3,2.7098797942198307
ME,2020,4,3.5741779743962914
ME,2021,1,3.3088418003644615
ME,2021,2,2.6746474560314915
ME,2021,3,3.353992558152128
ME,2021,4,1.4942899126714024
ME,2022,1,1.5258500874086993
ME,2022,2,1.9457039393621325
ME,2022,3,3.8450480675379946
ME,2022,4,2.1842708837993863
ME,2023,1,3.2676426307842603
ME,2023,2,1.7679848313264719
ME,2023,3,2.17372679505411
ME,2023,4,4.308985110117791
ME,2024,1,3.288861860686492
ME,2024,2,1.8791319213834439
ME,2024,3,1.781260314407518
MI,2019,1,1.7476855618325826
MI,2019,2,2.0110313040530765
MI,2019,3,2.218754028479571
MI,2019,4,2.3938798874054434
MI,2020,1,1.7318209977366719
MI,2020,2,1.6995748082840163
MI,2020,3,1.116044530997645
MI,2020,4,1.8268887665874973
MI,2021,1,1.992521227952103
MI,2021,2,1.704772841257392
MI,2021,3,0.812583749422484
MI,2021,4,1.4739622098347405
MI,2022,1,0.92675000532546
MI,2022,2,1.3632433094521321
MI,2022,3,1.7810848926327112
MI,2022,4,1.5065462281335344
MI,2023,1,0.9197765046561819
MI,2023,2,0.8991769442691052
MI,2023,3,1.4154793028359833
MI,2023,4,1.2531071372299711
MI,2024,1,1.3215580681341792
MI,2024,2,2.1701970797378367
MI,2024,3,1.0641811042858254
MN,2019,1,0.2571839858201026
MN,2019,2,0.442092262028081
MN,2019,3,0.6893255854161023
MN,2019,4,0.3923246934796839
MN,2020,1,0.4308324176082185
MN,2020,2,0.4321694699950475
MN,2020,3,0.6321781685825297
MN,2020,4,0.6671604791424041
MN,2021,1,0.58155880006549
MN,2021,2,0.3794758670515393
MN,2021,3,0.26128021449090305
MN,2021,4,0.3683572794465671
MN,2022,1,0.2156163347247577
MN,2022,2,0.36482146624015493
MN,2022,3,0.36161818187472305
MN,2022,4,0.4987277064446793
MN,2023,1,0.3684433052680328
MN,2023,2,0.7869720200366799
MN,2023,3,0.4477080874992635
MN,2023,4,0.4235178033460859
MN,2024,1,0.7135959938356861
MN,2024,2,0.35667739053346176
MN,2024,3,0.39247083992241133
MO,2019,1,0.22102654836498903
MO,2019,2,0.8641651259521309
MO,2019,3,0.7471081445570286
MO,2019,4,0.6073979357163658
MO,2020,1,0.5155843947101634
MO,2020,2,0.4756361630536251
MO,2020,3,0.510160214550924
MO,2020,4,0.4650267726709232
MO,2021,1,0.6044238162716228
MO,2021,2,0.8082654721352065
MO,2021,3,0.41912435116892505
MO,2021,4,0.3847322627532626
MO,2022,1,0.19740438073757263
MO,2022,2,0.17799676840930642
MO,2022,3,0.2561329272972769
MO,2022,4,0.2110640315889515
MO,2023,1,0.23840662940477103
MO,2023,2,0.2355094213449505
MO,2023,3,0.2098829365247969
MO,2023,4,0.5184503851603923
MO,2024,1,0.3033519694507725
MO,2024,2,0.31634346763670396
MO,2024,3,0.8230541317866288
MS,2019,1,0.41919842093041065
MS,2019,2,0.21427545979273516
MS,2019,3,0.5040783636168356
MS,2019,4,0.3423694112177301
MS,2020,1,0.423571725162792
MS,2020,2,0.1755412010892667
MS,2020,3,0.18285190893916886
MS,2020,4,0.2993810819142995
MS,2021,1,0.24311623034268567
MS,2021,2,0.18305257999818522
MS,2021,3,0.19998536688038568
MS,2021,4,0.4446444600473684
MS,2022,1,1.195638166487658
MS,2022,2,0.3416046145179037
MS,2022,3,0.18911792060684904
MS,2022,4,0.4989149729836178
MS,2023,1,0.4833936697870439
MS,2023,2,0.41216543160395486
MS,2023,3,0.3488794459057767
MS,2023,4,0.6438412212659418
MS,2024,1,0.2774689123072226
MS,2024,2,0.4964177998206066
MS,2024,3,0.4978539968096999
MT,2019,1,0.26781544961047626
MT,2019,2,0.29070551110630416
MT,2019,3,0.23352217648856233
MT,2019,4,0.13314585844688345
MT,2020,1,0.1719688119970059
MT,2020,2,0.27898561939058236
MT,2020,3,0.22395864130868282
MT,2020,4,0.11710814824824346
MT,2021,1,0.09095179601229687
MT,2021,2,0.11945069134872772
MT,2021,3,0.10657309567423807
MT,2021,4,0.30074542943684235
MT,2022,1,0.2653412214316001
MT,2022,2,0.6722542054156965
MT,2022,3,0.5018978459182389
MT,2022,4,0.48234164485067366
MT,2023,1,0.32227751703438445
MT,2023,2,1.2990188345763651
MT,2023,3,1.8390284095638556
MT,2023,4,0.7967711544465607
MT,2024,1,0.43446872661258884
MT,2024,2,1.4607389104797641
MT,2024,3,0.5057735343198984
NC,2019,1,1.3552862883851493
NC,2019,2,0.3805052284405073
NC,2019,3,0.31813401585760803
NC,2019,4,0.4888313970594849
NC,2020,1,0.4010164275761483
NC,2020,2,0.35808176534826436
NC,2020,3,0.22475020336100385
NC,2020,4,0.4286231864409136
NC,2021,1,0.31899812226557195
NC,2021,2,0.3846056801423752
NC,2021,3,0.3902650486728093
NC,2021,4,0.5080905492582796
NC,2022,1,1.0087363314088758
NC,2022,2,0.7180038390892216
NC,2022,3,0.4085407384327929
NC,2022,4,1.3437703932258716
NC,2023,1,0.5938423688878259
NC,2023,2,0.417008115859408
NC,2023,3,0.7829447522873838
NC,2023,4,0.4804400573970515
NC,2024,1,0.668384311137037
NC,2024,2,0.3175299057578087
NC,2024,3,0.3406204096106148
ND,2019,1,0.4366849084280394
ND,2019,2,1.5110609442601992
ND,2019,3,1.0681645219590947
ND,2019,4,0.13788456808222901
ND,2020,1,0.4435002227922208
ND,2020,2,0.6243789666041866
ND,2020,3,0.9243549088448019
ND,2020,4,0.3475356004127011
ND,2021,1,0.7769880471823927
ND,2021,2,0.3809333813707118
ND,2021,3,0.7138266828554212
ND,2021,4,0.49792068004194506
ND,2022,1,0.5104244727840791
ND,2022,2,0.7537291110461669
ND,2022,3,0.47101508534627284
ND,2022,4,0.5414799860233036
ND,2023,1,0.23526089991419613
ND,2023,2,0.2530897001820143
ND,2023,3,0.41679058848060163
ND,2023,4,0.26643114543345203
ND,2024,1,0.2973026668620692
ND,2024,2,0.29522461000170885
ND,2024,3,0.4359725928483918
NE,2019,1,0.08524772886013214
NE,2019,2,0.06319184416018059
NE,2019,3,0.055414611475362655
NE,2019,4,0.06002510503010001
NE,2020,1,0.07495399863198236
NE,2020,2,0.07269216671774861
NE,2020,3,0.07501645816845003
NE,2020,4,0.05692884945493956
NE,2021,1,0.06745791466096951
NE,2021,2,0.1442068348482423
NE,2021,3,0.10706822049664401
NE,2021,4,0.14755929331689113
NE,2022,1,0.08575348006064949
NE,2022,2,0.19144923624044627
NE,2022,3,0.2053003436692221
NE,2022,4,0.14926235079307817
NE,2023,1,0.10530527855031903
NE,2023,2,0.14773952275531327
NE,2023,3,0.1610607444606141
NE,2023,4,0.173589702795712
NE,2024,1,0.13210370690753218
NE,2024,2,0.14390444695028945
NE,2024,3,0.11331405392986853
NH,2019,1,2.469568581576104
NH,2019,2,2.5437062537116866
NH,2019,3,1.6615278605121722
NH,2019,4,1.379277741571396
NH,2020,1,2.160971316376157
NH,2020,2,1.8032287106405311
NH,2020,3,1.7713830766563192
NH,2020,4,1.217777880148074
NH,2021,1,1.6297143592795038
NH,2021,2,2.646377568721442
NH,2021,3,1.7722151422468393
NH,2021,4,3.121556383057025
NH,2022,1,0.5893810973520444
NH,2022,2,1.9615170901157823
NH,2022,3,2.109094855435665
NH,2022,4,0.8019722832243741
NH,2023,1,5.368347562896611
NH,2023,2,6.013136795906717
NH,2023,3,3.7368869266327254
NH,2023,4,2.746400502857108
NH,2024,1,2.5007345234179144
NH,2024,2,3.5093287691746737
NH,2024,3,1.6916184692109402
NJ,2019,1,5.048005837073937
NJ,2019,2,5.290864437308641
NJ,2019,3,3.269441152118166
NJ,2019,4,7.917715986591809
NJ,2020,1,5.6166262256447865
NJ,2020,2,3.790018074475375
NJ,2020,3,3.453315494952804
NJ,2020,4,7.112491038940921
NJ,2021,1,5.221336116858799
NJ,2021,2,5.585252495450326
NJ,2021,3,5.312702874957012
NJ,2021,4,6.205078368299992
NJ,2022,1,9.720933257907129
NJ,2022,2,6.100667832843397
NJ,2022,3,10.43412563290238
NJ,2022,4,10.515832635260299
NJ,2023,1,13.316177344622059
NJ,2023,2,5.760160662460044
NJ,2023,3,3.866574436658063
NJ,2023,4,6.957368958418808
NJ,2024,1,5.662093508469544
NJ,2024,2,9.275987714972777
NJ,2024,3,4.569615533884342
NM,2019,1,6.083976863120878
NM,2019,2,1.4312569659380723
NM,2019,3,2.7562718202337844
NM,2019,4,1.2739894784306731
NM,2020,1,3.433860955277847
NM,2020,2,1.4764521076005979
NM,2020,3,0.6733108092976495
NM,2020,4,1.1950125690213451
NM,2021,1,0.8261415366161986
NM,2021,2,0.7955867470425175
NM,2021,3,1.1116136155498686
NM,2021,4,0.6842355018316786
NM,2022,1,1.801360102016812
NM,2022,2,0.7069101962353315
NM,2022,3,0.40761139953127057
NM,2022,4,0.47995745408826346
NM,2023,1,0.9897089036794512
NM,2023,2,1.1274909446170447
NM,2023,3,1.1622590532934935
NM,2023,4,0.8778963691460352
NM,2024,1,1.3891756074304098
NM,2024,2,0.9582063158448517
NM,2024,3,2.4930272103661824
NV,2019,1,2.0008656329233268
NV,2019,2,1.6263860644796484
NV,2019,3,1.8301587136629598
NV,2019,4,1.823480072144032
NV,2020,1,1.4879116112277055
NV,2020,2,1.7027738712884166
NV,2020,3,0.731229931043969
NV,2020,4,0.3786795325456063
NV,2021,1,0.5420578199994319
NV,2021,2,0.2971964763343985
NV,2021,3,0.416060297394005
NV,2021,4,0.638581237476885
NV,2022,1,0.7069557642356255
NV,2022,2,0.8729072933762144
NV,2022,3,0.5553867954742725
NV,2022,4,0.433618733508042
NV,2023,1,0.8178909009482317
NV,2023,2,0.4734255916202846
NV,2023,3,0.7318193230287698
NV,2023,4,0.5286026914168616
NV,2024,1,0.841478025352528
NV,2024,2,0.654456030887542
NV,2024,3,0.9819622221412195
NY,2019,1,11.280011248668783
NY,2019,2,4.766685237137818
NY,2019,3,4.022354416723853
NY,2019,4,5.75292045591028
NY,2020,1,7.152985484531438
NY,2020,2,5.538870690541844
NY,2020,3,6.717900261051178
NY,2020,4,7.345377641921591
NY,2021,1,9.277612972555652
NY,2021,2,6.819608258484595
NY,2021,3,8.311918651976024
NY,2021,4,11.505897247916531
NY,2022,1,5.825587542519818
NY,2022,2,7.483196573137613
NY,2022,3,7.524860704902379
NY,2022,4,7.967575342061604
NY,2023,1,3.8194062357054914
NY,2023,2,4.121785554680179
NY,2023,3,5.494595260803276
NY,2023,4,4.892680754415081
NY,2024,1,3.124542060747134
NY,2024,2,3.9517684151719603
NY,2024,3,4.650005859486998
OH,2019,1,0.2460629608891571
OH,2019,2,0.6101833911937112
OH,2019,3,0.5481303529719612
OH,2019,4,0.5921393067519177
OH,2020,1,0.22289350098373426
OH,2020,2,0.4371292514496244
OH,2020,3,1.0738054001266228
OH,2020,4,0.31314400259253533
OH,2021,1,0.17964711314922086
OH,2021,2,0.2615229994598503
OH,2021,3,1.8805466310652212
OH,2021,4,0.9965402082292507
OH,2022,1,0.2554018094690333
OH,2022,2,0.5947514059001017
OH,2022,3,0.7754593166376633
OH,2022,4,1.3764278821219829
OH,2023,1,0.6548852942861954
OH,2023,2,0.9422829063758603
OH,2023,3,0.7927883952141627
OH,2023,4,1.2359141408585526
OH,2024,1,0.41615035291016467
OH,2024,2,0.6812094273297667
OH,2024,3,0.9991652510256542
OK,2019,1,0.20205096760342042
OK,2019,2,0.14244813873872028
OK,2019,3,0.10608102311848902
